Symbol, Mass_Number, Val, Version
Ac, 228, 0.1, 0
Ag, 105, 10, 0
Ag, 108m, 0.1, 0
Ag, 110m, 1, 0
Ag, 111, 100, 0
Al, 26, 0.1, 0
Am, 241, 0, 0
Am, 242m, 0.1, 0
Am, 243, 0.1, 0
Ar, 37, 0.1, 0
Ar, 39, 0.1, 0
Ar, 41, 0.1, 0
As, 71, 0.1, 0
As, 72, 0.1, 0
As, 73, 100, 0
As, 74, 10, 0
As, 76, 10, 0
As, 77, 100, 0
At, 211, 0.1, 0
Au, 193, 0.1, 0
Au, 194, 0.1, 0
Au, 195, 10, 0
Au, 196, Infinity, 0
Au, 198, 100, 0
Au, 199, 100, 0
Ba, 131, 10, 0
Ba, 133, 0.1, 0
Ba, 133m, 0.1, 0
Ba, 140, 10, 0
Be, 7, 0.1, 0
Be, 10, 0.1, 0
Bi, 205, 0.1, 0
Bi, 206, Infinity, 0
Bi, 207, 0.1, 0
Bi, 210, 1, 0
Bi, 210m, 0.1, 0
Bk, 247, 0.1, 0
Bk, 249, 0.1, 0
Br, 76, 0.1, 0
Br, 77, 0.1, 0
Br, 82, 10, 0
Br, 84, 0.1, 0
C, 11, 0.1, 0
C, 14, 100, 0
Ca, 41, 0.1, 0
Ca, 45, 10, 0
Ca, 47, 10, 0
Cd, 109, 10, 0
Cd, 113m, 0.1, 0
Cd, 115, 100, 0
Cd, 115m, 10, 0
Ce, 139, 0.1, 0
Ce, 141, 100, 0
Ce, 143, 100, 0
Ce, 144, 1, 0
Cf, 248, 0.1, 0
Cf, 250, 0.1, 0
Cf, 251, 0.1, 0
Cf, 253, 0.1, 0
Cf, 254, 0.1, 0
Cl, 36, 10, 0
Cl, 38, 10, 0
Cm, 240, 0.1, 0
Cm, 241, 0.1, 0
Cm, 242, 0.1, 0
Cm, 243, 0.1, 0
Cm, 246, 0.1, 0
Cm, 247, 0.1, 0
Co, 55, 0.1, 0
Co, 56, 0.1, 0
Co, 57, 100, 0
Co, 58, 10, 0
Co, 58m, 10, 0
Co, 60, 1, 0
Cr, 51, 1000, 0
Cs, 129, 0.1, 0
Cs, 131, 1000, 0
Cs, 132, 0.1, 0
Cs, 134, 1, 0
Cs, 134m, 100, 0
Cs, 135, 10, 0
Cs, 136, 10, 0
Cs, 137, 10, 0
Cu, 64, 100, 0
Cu, 67, 0.1, 0
Dy, 159, 0.1, 0
Dy, 165, 10, 0
Dy, 166, 100, 0
Er, 169, 100, 0
Er, 171, 100, 0
Eu, 147, 0.1, 0
Eu, 148, 0.1, 0
Eu, 149, 0.1, 0
Eu, 150(short), 0.1, 0
Eu, 150(long), 0.1, 0
Eu, 152, 1, 0
Eu, 152m, 100, 0
Eu, 154, 1, 0
Eu, 155, 10, 0
Eu, 156, 0.1, 0
F, 18, 1000, 0
Fe, 52, 10, 0
Fe, 55, 100, 0
Fe, 59, 10, 0
Fe, 60, 0.1, 0
Ga, 67, 100, 0
Ga, 68, 0.1, 0
Ga, 72, 10, 0
Gd, 146, 0.1, 0
Gd, 148, 0.1, 0
Gd, 153, 10, 0
Gd, 159, 100, 0
Ge, 68, 0.1, 0
Ge, 71, 100, 0
Ge, 77, 0.1, 0
H, 3, 1000, 0
Hf, 172, 0.1, 0
Hf, 175, 0.1, 0
Hf, 181, 10, 0
Hf, 182, Infinity, 0
Hg, 194, 0.1, 0
Hg, 195m, 0.1, 0
Hg, 197, 100, 0
Hg, 197m, 100, 0
Hg, 203, 10, 0
Ho, 166, 100, 0
Ho, 166m, 0.1, 0
I, 123, 100, 0
I, 124, 0.1, 0
I, 125, 1, 0
I, 126, 1, 0
I, 129, 0.1, 0
I, 131, 1, 0
I, 132, 10, 0
I, 133, 1, 0
I, 134, 10, 0
I, 135, 10, 0
In, 111, 100, 0
In, 113m, 100, 0
In, 114m, 10, 0
In, 115, 10, 0
In, 115m, 100, 0
Ir, 188, 0.1, 0
Ir, 189, 0.1, 0
Ir, 190, Infinity, 0
Ir, 192, 10, 0
Ir, 194, 100, 0
K, 40, 0.1, 0
K, 42, 10, 0
K, 43, 10, 0
Kr, 81, 0.1, 0
Kr, 85, 100, 0
Kr, 85m, Infinity, 0
Kr, 87, 10, 0
La, 137, 0.1, 0
La, 140, 10, 0
Lu, 172, 0.1, 0
Lu, 173, 0.1, 0
Lu, 174, 0.1, 0
Lu, 174m, 0.1, 0
Lu, 177, 100, 0
Mg, 28, 0.1, 0
Mn, 52, 10, 0
Mn, 53, 0.1, 0
Mn, 54, 10, 0
Mn, 56, 10, 0
Mo, 93, 0.1, 0
Mo, 99, 100, 0
N, 13, 0.1, 0
Na, 22, 10, 0
Na, 24, 10, 0
Nb, 93m, 10, 0
Nb, 94, 0.1, 0
Nb, 95, 10, 0
Nb, 97, 10, 0
Nd, 147, 100, 0
Nd, 149, 100, 0
Ni, 56, 0.1, 0
Ni, 59, 100, 0
Ni, 63, 10, 0
Ni, 65, 100, 0
Np, 235, 0.1, 0
Np, 236(short), 0.1, 0
Np, 236(long), 0.1, 0
Np, 239, 0.1, 0
Os, 185, 10, 0
Os, 191, 100, 0
Os, 191m, 100, 0
Os, 193, 100, 0
Os, 194, 0.1, 0
P, 32, 10, 0
P, 33, 100, 0
Pa, 230, 0.1, 0
Pa, 231, 0.1, 0
Pa, 233, 0.1, 0
Pb, 201, 0.1, 0
Pb, 202, 0.1, 0
Pb, 203, Infinity, 0
Pb, 205, 0.1, 0
Pb, 210, 0.1, 0
Pb, 212, 0.1, 0
Pd, 103, 100, 0
Pd, 107, 0.1, 0
Pd, 109, 100, 0
Pm, 143, 0.1, 0
Pm, 144, 0.1, 0
Pm, 145, 0.1, 0
Pm, 147, 10, 0
Pm, 148m, 0.1, 0
Pm, 149, 10, 0
Pm, 151, 0.1, 0
Po, 210, 0.1, 0
Pr, 142, 100, 0
Pr, 143, 100, 0
Pt, 188, 0.1, 0
Pt, 191, 100, 0
Pt, 193, 100, 0
Pt, 193m, 100, 0
Pt, 195m, 0.1, 0
Pt, 197, 100, 0
Pt, 197m, 100, 0
Pu, 236, 0.1, 0
Pu, 237, 0.1, 0
Pu, 241, 0.1, 0
Pu, 242, 0.1, 0
Ra, 225, 0.1, 0
Ra, 228, 0.1, 0
Rb, nat, 0.1,0
Rb, 81, 10, 0
Rb, 83, 0.1, 0
Rb, 84, 0.1, 0
Rb, 86, 10, 0
Rb, 87, 10, 0
Re, nat, 0.1,0
Re, 183, Infinity, 0
Re, 184, 0.1, 0
Re, 184m, 0.1, 0
Re, 186, 100, 0
Re, 187, 0.1, 0
Re, 188, 100, 0
Re, 189, 0.1, 0
Rh, 99, 0.1, 0
Rh, 101, 0.1, 0
Rh, 102, 0.1, 0
Rh, 102m, 0.1, 0
Rh, 103m, 100, 0
Rh, 105, 100, 0
Ru, 97, 100, 0
Ru, 103, 10, 0
Ru, 105, 10, 0
Ru, 106, 1, 0
S, 35, 100, 0
Sb, 122, 100, 0
Sb, 124, 10, 0
Sb, 125, 10, 0
Sb, 126, 0.1, 0
Sc, 44, 0.1, 0
Sc, 46, 10, 0
Sc, 47, 100, 0
Sc, 48, 10, 0
Se, 72, 0.1, 0
Se, 75, 10, 0
Se, 79, 0.1, 0
Si, 31, 100, 0
Si, 32, 0.1, 0
Sm, 145, 0.1, 0
Sm, 147, 0.1, 0
Sm, 151, 10, 0
Sm, 153, 100, 0
Sn, 113, 10, 0
Sn, 117m, 0.1, 0
Sn, 119m, 0.1, 0
Sn, 121m, 0.1, 0
Sn, 123, 0.1, 0
Sn, 125, 10, 0
Sn, 126, 0.1, 0
Sr, 82, 0.1, 0
Sr, 85, 10, 0
Sr, 85m, 0.1, 0
Sr, 87m, 0.1, 0
Sr, 89, 1, 0
Sr, 90, 0.1, 0
Sr, 91, 10, 0
Sr, 92, 10, 0
T, nat, 0.1,0
Ta, 178, 0.1, 0
Ta, 179, 0.1, 0
Ta, 182, 10, 0
Tb, 157, 0.1, 0
Tb, 158, 0.1, 0
Tb, 160, 10, 0
Tc, 95m, 0.1, 0
Tc, 96, 10, 0
Tc, 96m, Infinity, 0
Tc, 97, 100, 0
Tc, 97m, 100, 0
Tc, 98, 0.1, 0
Tc, 99, 10, 0
Tc, 99m, 100, 0
Te, 121, 0.1, 0
Te, 121m, 0.1, 0
Te, 123m, 0.1, 0
Te, 125m, 10, 0
Te, 127, 100, 0
Te, 127m, 10, 0
Te, 129, 100, 0
Te, 129m, 10, 0
Te, 131m, 10, 0
Te, 132, 10, 0
Th, nat, 0.1,0
Th, 231, 0.1, 0
Th, 234, 0.1, 0
Ti, 44, 0.1, 0
Tl, 200, 100, 0
Tl, 201, 100, 0
Tl, 202, 100, 0
Tl, 204, 10, 0
Tm, 167, 0.1, 0
Tm, 170, 10, 0
Tm, 171, 10, 0
U, nat, 0.1,0
U, 230, 0.1, 0
U, 232, 0.1, 0
U, 234, 0, 0
V, 48, 10, 0
V, 49, 0.1, 0
W, 178, 0.1, 0
W, 181, 10, 0
W, 185, 10, 0
W, 187, 100, 0
W, 188, 0.1, 0
Xe, 122, 0.1, 0
Xe, 123, 0.1, 0
Xe, 127, 0.1, 0
Xe, 131m, 1000, 0
Xe, 133, 100, 0
Xe, 135, 100, 0
Y, 87, 10, 0
Y, 88, 10, 0
Y, 90, 10, 0
Y, 91, 10, 0
Y, 91m, Infinity, 0
Y, 92, 100, 0
Y, 93, 100, 0
Yb, 169, 0.1, 0
Yb, 175, 100, 0
Zn, 65, 10, 0
Zn, 69, 1000, 0
Zn, 69m, 100, 0
Zr, 88, 0.1, 0
Zr, 93, 10, 0
Zr, 95, 10, 0
Zr, 97, 10, 0
